epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,22503.4,1.00002,0.3642,0.00176,0.98548,0.97413,0.98918,0.8316,0.84493,0.30111,0.00171,0.000325526,0.000325526,0.000325526
80,22747.3,0.97972,0.36143,0.00189,0.98421,0.98135,0.98951,0.84789,0.84719,0.30199,0.0017,0.000311379,0.000311379,0.000311379
81,22987.4,1.00304,0.36499,0.00168,0.98552,0.97943,0.98941,0.8313,0.85793,0.30464,0.00173,0.000297232,0.000297232,0.000297232
82,23226.6,1.01612,0.37228,0.00178,0.982,0.98065,0.98942,0.82993,0.88774,0.31166,0.00178,0.000283085,0.000283085,0.000283085
83,23472,0.98641,0.38414,0.00184,0.98188,0.9752,0.98951,0.83981,0.87241,0.30856,0.00174,0.000268938,0.000268938,0.000268938
84,23749.6,0.95792,0.37314,0.00195,0.9863,0.97478,0.98972,0.84355,0.83123,0.30317,0.00166,0.000254791,0.000254791,0.000254791
85,24874.3,0.97772,0.35564,0.00174,0.98724,0.98084,0.99006,0.84104,0.83213,0.2984,0.00168,0.000240644,0.000240644,0.000240644
86,25118.2,1.01085,0.36873,0.00175,0.98277,0.98089,0.99025,0.84661,0.84,0.30068,0.00169,0.000226497,0.000226497,0.000226497
87,25357.6,0.99495,0.35986,0.00175,0.98572,0.98059,0.99017,0.85316,0.82366,0.30163,0.00165,0.000212349,0.000212349,0.000212349
88,25601.6,0.98184,0.37808,0.00177,0.98479,0.97802,0.99041,0.85359,0.82173,0.30032,0.00163,0.000198202,0.000198202,0.000198202
89,25856.1,0.93569,0.35419,0.00168,0.98663,0.97884,0.98999,0.848,0.8568,0.30294,0.0017,0.000184055,0.000184055,0.000184055
90,26094.5,0.98738,0.37833,0.0018,0.98621,0.97739,0.99009,0.84894,0.87686,0.30446,0.00174,0.000169908,0.000169908,0.000169908
91,26321.9,0.95331,0.3567,0.00184,0.98561,0.98037,0.99044,0.85329,0.85772,0.30046,0.00171,0.000155761,0.000155761,0.000155761
92,26551.4,0.95308,0.35063,0.00194,0.98592,0.98017,0.9905,0.85417,0.83011,0.30085,0.00166,0.000141614,0.000141614,0.000141614
93,26780,1.02917,0.36176,0.00192,0.98255,0.98093,0.99068,0.85825,0.8056,0.29751,0.00161,0.000127467,0.000127467,0.000127467
94,27007,0.98885,0.35151,0.00185,0.98347,0.98217,0.9909,0.85442,0.80458,0.29829,0.00162,0.00011332,0.00011332,0.00011332
95,27236.6,0.88823,0.33255,0.00177,0.98526,0.9813,0.99073,0.8579,0.80564,0.29506,0.00161,9.91726e-05,9.91726e-05,9.91726e-05
96,27464,0.86181,0.33364,0.00181,0.98711,0.98018,0.99079,0.86146,0.80238,0.2908,0.0016,8.50255e-05,8.50255e-05,8.50255e-05
97,27692.4,1.00612,0.35233,0.00187,0.98874,0.98119,0.9907,0.86397,0.79877,0.289,0.0016,7.08784e-05,7.08784e-05,7.08784e-05
98,27924.9,0.96064,0.34354,0.00188,0.98777,0.98105,0.9908,0.86536,0.79374,0.28829,0.00158,5.67313e-05,5.67313e-05,5.67313e-05
99,28144.4,0.8892,0.33702,0.00178,0.98593,0.98139,0.99076,0.86527,0.79114,0.2897,0.00158,4.25842e-05,4.25842e-05,4.25842e-05
100,28372.1,0.87506,0.32719,0.00176,0.98499,0.98132,0.99074,0.86488,0.79162,0.29117,0.00158,2.84371e-05,2.84371e-05,2.84371e-05
